"source_repository","source_path","disposition","logical_path","canonical_path","sha256"
"OT-detection-program","02-detection/historian/E-data-integrity/E01-historian-plc-divergence/README.md","included","02-detection/historian/E-data-integrity/E01-historian-plc-divergence/README.md","02-detection/historian/E-data-integrity/E01-historian-plc-divergence/README.md","d3be3fd1faef5886d64aa3fc85858bee1c1c8689056c02728d5d2e0189b78c26"
"OT-detection-program","02-detection/historian/E-data-integrity/E01-historian-plc-divergence/sentinel.kql","included","02-detection/historian/E-data-integrity/E01-historian-plc-divergence/sentinel.kql","02-detection/historian/E-data-integrity/E01-historian-plc-divergence/sentinel.kql","3af17bd2ba27aa7a35a99fee5f740800bb19d68fa5a70c0e17f5ec44d8cee26f"
"OT-detection-program","02-detection/historian/E-data-integrity/E01-historian-plc-divergence/splunk.spl","included","02-detection/historian/E-data-integrity/E01-historian-plc-divergence/splunk.spl","02-detection/historian/E-data-integrity/E01-historian-plc-divergence/splunk.spl","8a6f64fb1f3903c2e0d089fb5648ee4089bbfc8fd3d4512f8f0930f505599879"
"OT-detection-program","02-detection/historian/E-data-integrity/E01-historian-plc-divergence/validation.md","included","02-detection/historian/E-data-integrity/E01-historian-plc-divergence/validation.md","02-detection/historian/E-data-integrity/E01-historian-plc-divergence/validation.md","98f770f69ed311e704cdc584c29b3637e73ff5bc3077723773bd10fa66af9031"
"OT-detection-program","02-detection/historian/G-safety-alarm/G01-sif-trip-point-approach/detection.yml","included","02-detection/historian/G-safety-alarm/G01-sif-trip-point-approach/detection.yml","02-detection/historian/G-safety-alarm/G01-sif-trip-point-approach/detection.yml","785fe1c3f7fe53774b4fb3574fcc4c84a4e642e188037ef3af67c6914f1a67e5"
"OT-detection-program","02-detection/historian/G-safety-alarm/G01-sif-trip-point-approach/README.md","included","02-detection/historian/G-safety-alarm/G01-sif-trip-point-approach/README.md","02-detection/historian/G-safety-alarm/G01-sif-trip-point-approach/README.md","67cc029551314291065ca5c0e367a3e97b51d8a4c93f47deb5466a1b212669c9"
"OT-detection-program","02-detection/historian/G-safety-alarm/G01-sif-trip-point-approach/sentinel.kql","included","02-detection/historian/G-safety-alarm/G01-sif-trip-point-approach/sentinel.kql","02-detection/historian/G-safety-alarm/G01-sif-trip-point-approach/sentinel.kql","a69d199b5a91a3fe4c6c284e387eabad2fd4ed17e473b19da2aa6ed3669ff97b"
"OT-detection-program","02-detection/historian/G-safety-alarm/G01-sif-trip-point-approach/splunk.spl","included","02-detection/historian/G-safety-alarm/G01-sif-trip-point-approach/splunk.spl","02-detection/historian/G-safety-alarm/G01-sif-trip-point-approach/splunk.spl","0982155b17332993e3eaeceb61988c2624122eeb4b186a04efc283ebfa5863dc"
"OT-detection-program","02-detection/historian/G-safety-alarm/G01-sif-trip-point-approach/validation.md","included","02-detection/historian/G-safety-alarm/G01-sif-trip-point-approach/validation.md","02-detection/historian/G-safety-alarm/G01-sif-trip-point-approach/validation.md","c928c72410f44a2b2622bfb3bad5b92413c9e3bb305a0007c3290051d3b1092f"
"OT-detection-program","02-detection/historian/ot_baseline.csv","included","02-detection/historian/ot_baseline.csv","02-detection/historian/ot_baseline.csv","4475d1689a800d2c1f280db714afb40b708e67fd40452a48ea0d82c73ab9adcf"
